extraction,extractedLOC,extractedMethodCC,parameters
0,181,59,1
1,177,58,1
2,176,58,1
3,175,58,1
4,174,58,1
5,172,58,1
6,176,58,1
7,175,58,1
8,174,58,1
9,173,58,1
10,171,58,1
11,175,58,2
12,174,58,2
13,173,58,2
14,172,58,2
15,170,58,2
16,174,58,3
17,173,58,3
18,172,58,3
19,171,58,3
20,169,58,3
21,173,58,4
22,172,58,4
23,171,58,4
24,170,58,4
25,168,58,4
26,171,58,5
27,170,58,5
28,169,58,5
29,168,58,5
30,166,58,5
31,5,1,2
32,161,57,4
33,160,57,4
34,159,57,4
35,158,57,4
36,156,57,4
37,6,1,0
38,4,1,0
39,159,57,5
40,158,57,5
41,157,57,5
42,156,57,5
43,154,57,5
44,4,1,1
45,2,1,1
46,156,56,5
47,155,56,5
48,154,56,5
49,153,56,5
50,151,56,5
51,154,56,5
52,153,56,5
53,152,56,5
54,151,56,5
55,149,56,5
56,17,4,4
57,16,4,4
58,14,4,3
59,12,4,3
60,8,1,2
61,131,49,5
62,17,4,4
63,16,4,4
64,14,4,3
65,12,4,3
66,8,1,2
67,113,42,5
68,17,4,4
69,16,4,4
70,14,4,3
71,12,4,3
72,8,1,2
73,95,35,5
74,17,4,4
75,16,4,4
76,14,4,3
77,12,4,3
78,8,1,2
79,77,28,4
80,18,4,3
81,17,4,3
82,15,4,2
83,13,4,2
84,8,1,2
85,58,21,4
86,18,4,3
87,17,4,3
88,15,4,2
89,13,4,2
90,8,1,2
91,39,14,4
92,18,4,3
93,17,4,3
94,15,4,2
95,13,4,2
96,8,1,2
97,20,7,4
98,18,4,3
99,17,4,3
100,15,4,2
101,13,4,2
102,8,1,2
