extraction,extractedLOC,extractedMethodCC,parameters
0,85,95,1
1,83,95,1
2,83,95,2
3,81,95,2
4,82,95,3
5,80,95,3
6,78,76,3
7,76,57,3
8,75,57,4
9,52,33,4
10,51,33,5
11,50,33,6
12,49,33,7
13,8,5,4
14,4,1,4
15,3,1,3
16,41,28,7
17,8,5,4
18,4,1,4
19,3,1,3
20,33,23,5
21,31,14,5
22,28,13,4
23,30,14,6
24,27,13,5
25,24,12,5
26,8,1,4
27,29,14,5
28,26,13,4
29,23,12,4
30,7,1,3
31,28,14,4
32,25,13,3
33,22,12,2
34,6,1,1
35,26,14,4
36,23,13,3
37,20,12,2
38,4,1,1
39,25,14,5
40,22,13,4
41,19,12,3
42,3,1,2
43,22,13,4
44,19,12,3
45,16,11,2
46,13,7,2
47,12,7,2
48,11,7,2
49,9,4,2
50,8,4,2
51,7,4,2
52,5,2,2
53,4,2,2
54,3,2,2
55,5,2,3
56,2,1,2
57,2,1,2
58,11,6,3
59,9,5,3
60,10,6,4
61,8,5,4
62,4,1,4
63,3,1,3
64,2,1,1
65,4,1,3
66,3,1,2
