extraction,extractedLOC,extractedMethodCC,parameters
0,85,68,3
1,84,68,3
2,80,66,3
3,84,68,4
4,83,68,4
5,79,66,4
6,83,68,4
7,82,68,4
8,78,66,4
9,74,48,4
10,73,48,5
11,71,48,5
12,31,22,5
13,30,22,5
14,29,22,6
15,28,22,6
16,26,13,7
17,9,4,3
18,8,4,3
19,3,1,3
20,2,1,3
21,24,12,7
22,7,3,3
23,6,3,3
24,23,12,7
25,6,3,3
26,5,3,3
27,3,1,4
28,2,1,4
29,18,9,5
30,17,9,5
31,16,9,6
32,15,9,5
33,9,6,4
34,7,3,4
35,6,3,4
36,6,3,2
37,5,3,2
38,3,1,3
39,2,1,3
40,6,3,2
41,4,1,2
42,3,1,2
43,23,11,3
44,22,11,4
45,21,11,5
46,14,8,5
47,13,8,3
48,20,11,5
49,13,8,4
50,12,8,2
51,19,11,5
52,12,8,4
53,11,8,2
54,9,4,3
55,8,4,3
56,3,1,3
57,2,1,3
58,7,3,3
59,6,3,3
60,6,3,3
61,5,3,3
62,3,1,4
63,2,1,4
64,8,3,4
65,7,3,4
66,5,2,4
67,5,2,2
68,4,2,2
